E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E127,Erythrosin,Erythrosine,Farvestof (rød),Begrænset i EU til meget få anvendelser (bl.a. cocktailbær og kandiserede kirsebær); EFSA har rejst spørgsmål om jodindhold og mulig påvirkning af skjoldbruskkirtlen ved høje indtag.,EFSA's genvurdering i 2011 sænkede den acceptable daglige indtagelse på grund af uafklarede spørgsmål om bl.a. skjoldbruskkirtelpåvirkning; stoffet er derfor stærkt anvendelsesbegrænset i EU.,https://www.efsa.europa.eu/en/efsajournal/pub/1854,EFSA (2011-udtalelse)
E129,Allurarødt AC,Allura Red AC,"Farvestof (rød, syntetisk azofarve)",Omfattet af EU's lovpligtige advarselsmærkning (Southampton-seks).,En af de seks farvestoffer omfattet af Southampton-studiets mærkningskrav.,https://www.efsa.europa.eu/en/topics/topic/food-colours,EU-forordning 1333/2008 / EFSA
E131,Patentblåt V,Patent Blue V,"Farvestof (blå, syntetisk)",Ikke en del af Southampton-seks. Kan i sjældne tilfælde udløse allergiske reaktioner/overfølsomhed hos meget følsomme personer.,Allergiske reaktioner over for patentblåt V er primært dokumenteret ved medicinsk brug af farvestoffet (fx til sentinel lymfeknude-markering) snarere end fra fødevareindtag; EFSA's genvurdering fandt ingen ny sikkerhedsbekymring for fødevarebrug.,https://www.efsa.europa.eu/en/efsajournal/pub/2818,EFSA (2013-udtalelse)
E132,Indigotin,"Indigokarmin, Indigo carmine","Farvestof (blå, syntetisk)",Ikke en del af Southampton-seks. Ingen dokumenteret EU-specifik advarsel ud over fastsat ADI.,EFSA's genvurdering bekræftede fortsat godkendelse med fastsat ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/3768,EFSA (2014-udtalelse)
E133,Brilliant Blue FCF,"Briljantblåt FCF, Blue 1","Farvestof (blå, syntetisk)",Ikke en del af Southampton-seks. Sjældne rapporter om overfølsomhedsreaktioner hos meget følsomme personer.,EFSA's genvurdering fandt ingen ny sikkerhedsbekymring og bekræftede fastsat ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/1853,EFSA (2010-udtalelse)
E140(i),Chlorophyller,"Klorofyl, det grønne plantefarvestof",Farvestof (grøn),"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende plantefarvestof, vurderes sikkert.",EFSA's genvurdering af chlorophyller/chlorophylliner fandt ingen sikkerhedsproblemer af betydning ved normal anvendelse.,https://www.efsa.europa.eu/en/efsajournal/pub/4089,EFSA (2015-udtalelse)
E140(ii),Chlorophylliner,Klorofylliner (vandopløselig form af klorofyl),Farvestof (grøn),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat brug.,EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning.,https://www.efsa.europa.eu/en/efsajournal/pub/4089,EFSA (2015-udtalelse)
E141(i),Kobberkomplekser af chlorophyller,Kobber-klorofyl,Farvestof (grøn),Ingen dokumenteret EU-specifik advarsel; kobberindholdet er reguleret via fastsat ADI for kobber fra dette tilsætningsstof.,EFSA's genvurdering fastsatte en gruppe-ADI for kobberkomplekser af chlorophyller/chlorophylliner ud fra kobberindholdet.,https://www.efsa.europa.eu/en/efsajournal/pub/4089,EFSA (2015-udtalelse)
E141(ii),Kobberkomplekser af chlorophylliner,Kobber-klorofyllin,Farvestof (grøn),Ingen dokumenteret EU-specifik advarsel; kobberindholdet er reguleret via fastsat ADI.,EFSA's genvurdering fastsatte en gruppe-ADI ud fra kobberindholdet.,https://www.efsa.europa.eu/en/efsajournal/pub/4089,EFSA (2015-udtalelse)
E142,Grøn S,Green S,"Farvestof (grøn, syntetisk)","Ikke en del af Southampton-seks, men et syntetisk farvestof underlagt fastsat ADI; begrænset anvendelse i EU.",EFSA's genvurdering bekræftede fortsat godkendelse med fastsat ADI uden nye sikkerhedsbekymringer.,https://www.efsa.europa.eu/en/efsajournal/pub/1851,EFSA (2010-udtalelse)
E150a,Sukkerkulør (almindelig karamel),"Sukkerkulør, karamelfarve, klasse I-karamel",Farvestof (brun),Ingen dokumenteret EU-specifik advarsel for denne enkleste karamelklasse; vurderes sikkert.,EFSA's genvurdering af karamelfarver (klasse I-IV) fandt generelt ingen sikkerhedsproblemer ved klasse I; gruppe-ADI fastsat for de øvrige klasser pga. biprodukter.,https://www.efsa.europa.eu/en/efsajournal/pub/2004,EFSA (2011-udtalelse)
E150b,Kaustisk sulfitkaramel,"Sukkerkulør, karamelfarve, klasse II-karamel",Farvestof (brun),Ingen dokumenteret EU-specifik advarsel ud over fastsat ADI for gruppen.,EFSA's genvurdering fastsatte gruppe-ADI for karamelklasserne; ingen særskilt advarsel for klasse II.,https://www.efsa.europa.eu/en/efsajournal/pub/2004,EFSA (2011-udtalelse)
E150c,Ammoniakkaramel,"Sukkerkulør, karamelfarve, klasse III-karamel",Farvestof (brun),"Indeholder biproduktet 4-methylimidazol (4-MEI); EFSA har fastsat en ADI, som anses for tilstrækkelig sikker, men stoffet overvåges på grund af diskussion i visse ikke-EU-lande (fx Californien) om 4-MEI.",EFSA's 2011-genvurdering fastsatte specifik ADI for klasse III-karamel bl.a. med henblik på indholdet af 4-MEI og andre biprodukter.,https://www.efsa.europa.eu/en/efsajournal/pub/2004,EFSA (2011-udtalelse)
E150d,Sulfitammoniakkaramel,"Sukkerkulør, karamelfarve, klasse IV-karamel (bl.a. i cola)",Farvestof (brun),"Indeholder biproduktet 4-methylimidazol (4-MEI); EFSA har fastsat en ADI, som anses for tilstrækkelig sikker, men stoffet overvåges på grund af diskussion i visse ikke-EU-lande om 4-MEI.",EFSA's 2011-genvurdering fastsatte specifik ADI for klasse IV-karamel; mest anvendte karameltype i bl.a. kulsyreholdige læskedrikke.,https://www.efsa.europa.eu/en/efsajournal/pub/2004,EFSA (2011-udtalelse)
E151,Sortglans BN,Brilliant Black BN,"Farvestof (sort, syntetisk)","Ikke omfattet af den lovpligtige Southampton-mærkning, men enkelte studier har diskuteret mulig sammenhæng med hyperaktivitet uden at dette har ført til EU-mærkningskrav.",EFSA's genvurdering bekræftede fortsat godkendelse med fastsat ADI; stoffet indgår ikke i den officielle liste over seks mærkningspligtige farvestoffer.,https://www.efsa.europa.eu/en/efsajournal/pub/1877,EFSA (2010-udtalelse)
E153,Vegetabilsk kul,"Vegetabilsk carbon, kultilsætning",Farvestof (sort),Ingen dokumenteret EU-specifik advarsel; anvendelsen er stærkt begrænset til få specifikke produkter (bl.a. overflade af visse oste).,EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning ved den begrænsede godkendte anvendelse.,https://www.efsa.europa.eu/en/efsajournal/pub/3634,EFSA (2012-udtalelse)
E155,Brun HT,Brown HT,"Farvestof (brun, syntetisk)","Ikke en del af den lovpligtige Southampton-seks, men er et syntetisk azofarvestof underlagt fastsat ADI; anvendelsen i EU er begrænset til ganske få produkter.",EFSA's genvurdering bekræftede fortsat godkendelse med fastsat ADI uden at tilføje stoffet til den lovpligtige mærkningsliste.,https://www.efsa.europa.eu/en/efsajournal/pub/1536,EFSA (2010-udtalelse)
E160a(i),Beta-caroten,"Betakaroten, provitamin A",Farvestof (orange-gul); naturligt forekommende provitamin,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende stof, vurderes sikkert inden for fastsat ADI.",EFSA's genvurdering af beta-caroten bekræftede sikkerheden ved normal anvendelse som farvestof.,https://www.efsa.europa.eu/en/efsajournal/pub/2593,EFSA (2012-udtalelse)
E160a(ii),Blandede caroten er,"Naturlige caroten er fra planter, palmeolie, gulerødder eller alger",Farvestof (orange-gul); naturligt forekommende,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat brug.,EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning for blandede naturlige caroten er.,https://www.efsa.europa.eu/en/efsajournal/pub/2593,EFSA (2012-udtalelse)
E160b,"Annattoekstrakt, bixin, norbixin","Annatto, achiote","Farvestof (gul-orange, naturligt)",Kan i sjældne tilfælde udløse allergiske reaktioner hos meget følsomme personer.,EFSA's genvurdering i 2016 fastsatte reviderede ADI-værdier for bixin og norbixin efter gennemgang af toksikologiske data.,https://www.efsa.europa.eu/en/efsajournal/pub/4544,EFSA (2016-udtalelse)
E160c,Paprikaekstrakt,"Capsanthin, capsorubin, paprikaolieresin","Farvestof (rød-orange, naturligt)",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert ved normalt forbrug.,"EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning, men bemærkede databegrænsninger uden at ændre godkendelsen.",https://www.efsa.europa.eu/en/efsajournal/pub/3162,EFSA (2015-udtalelse)
E160d,Lycopen,"Tomatrødt, lycopen fra tomat eller svampen Blakeslea trispora","Farvestof (rød, naturligt); antioxidant",Ingen dokumenteret EU-specifik advarsel ud over fastsat ADI.,EFSA's genvurdering fastsatte en samlet ADI for lycopen fra forskellige kilder.,https://www.efsa.europa.eu/en/efsajournal/pub/2031,EFSA (2010-udtalelse)
E160e,Beta-apo-8'-carotenal,"Apo-carotenal, C30-carotenal","Farvestof (orange, syntetisk fremstillet efter naturligt forbillede)",Ingen dokumenteret EU-specifik advarsel ud over fastsat ADI.,EFSA's genvurdering bekræftede fortsat godkendelse med fastsat ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/2492,EFSA (2012-udtalelse)
E161b,Lutein,"Luteinekstrakt, xantofyl fra tagetes/fløjlsblomst","Farvestof (gul-orange, naturligt); antioxidant",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering af luteinpræparater bekræftede sikkerheden ved normal anvendelse.,https://www.efsa.europa.eu/en/efsajournal/pub/2144,EFSA (2011-udtalelse)
E161g,Canthaxanthin,Cantaxanthin,"Farvestof (orange-rød, naturligt/syntetisk)","Stærkt anvendelsesbegrænset i EU (bl.a. visse pølseprodukter som ""Strasbourg-pølser""); høje doser er tidligere forbundet med aflejringer i nethinden ved langvarig, meget høj indtagelse (bl.a. via kosttilskud/solbruningspiller, som er forbudt).","EFSA's genvurdering sænkede ADI for canthaxanthin markant efter rapporter om nethindeaflejringer ved høj eksponering, hvilket har begrænset den tilladte fødevareanvendelse betydeligt.",https://www.efsa.europa.eu/en/efsajournal/pub/1852,EFSA (2010-udtalelse)
E162,Rødbedefarve,Betanin,"Farvestof (rød, naturligt fra rødbede)","Ingen dokumenteret EU-specifik advarsel; naturligt forekommende, vurderes sikkert.",EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning ved normal anvendelse.,https://www.efsa.europa.eu/en/efsajournal/pub/2809,EFSA (2013-udtalelse)
E163,Anthocyaniner,"Druefarve, farvestof fra bær og druer","Farvestof (rød-violet-blå, naturligt)","Ingen dokumenteret EU-specifik advarsel; naturligt forekommende plantestoffer, vurderes sikkert.",EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning; fastsat ADI ikke nødvendig ('ikke specificeret').,https://www.efsa.europa.eu/en/efsajournal/pub/2013,EFSA (2013-udtalelse)
E170,Calciumcarbonat,"Kridt, calciumkarbonat",Farvestof (hvid); også som overfladebehandlingsmiddel og syreregulator,"Ingen dokumenteret EU-specifik advarsel; almindeligt mineral, vurderes sikkert.",EFSA's genvurdering fandt ingen sikkerhedsproblemer og bekræftede 'ADI ikke specificeret'.,https://www.efsa.europa.eu/en/efsajournal/pub/2318,EFSA (2011-udtalelse)
E171,Titandioxid,Titaniumdioxid,Farvestof (hvid),"FORBUDT som fødevaretilsætningsstof i EU siden 7. august 2022 (fuldt gennemført; forbud vedtaget januar 2022 med virkning fra 7. februar 2022). EFSA konkluderede i 2021, at titandioxid ikke længere kan anses for sikkert som fødevaretilsætningsstof, da en bekymring for genotoksicitet (skader på arvemateriale) ikke kunne udelukkes, og en sikker daglig indtagelse derfor ikke kunne fastsættes.","EFSA's genvurdering (maj 2021) fandt, at der ikke kunne udelukkes en genotoksisk bekymring ved indtagelse af titandioxid-partikler, hvilket førte til EU-kommissionens forbud mod stoffet som fødevaretilsætning.",https://www.efsa.europa.eu/en/news/titanium-dioxide-e171-no-longer-considered-safe-when-used-food-additive,EFSA (2021-udtalelse) / EU-forordning 2022/63
E172,"Jernoxider, jernhydroxider","Jernoxidrødt, jernoxidgult, jernoxidsort","Farvestof (rød/gul/sort, uorganisk)",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA's genvurdering bekræftede fortsat godkendelse med fastsat gruppe-ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/2764,EFSA (2015-udtalelse)
E173,Aluminium,Aluminiumspulver,Farvestof (metallisk grå); kun til overfladedekoration,"Begrænset til overfladedekoration af sukkervarer/kager (spises normalt ikke i store mængder ad gangen). EFSA har fastsat en tolerabel ugentlig indtagelse (TWI) for aluminium samlet set fra alle kilder på grund af mulige effekter på nervesystem og reproduktion ved høj, langvarig eksponering.","EFSA's samlede vurdering af aluminium fra fødevarer (2008) fastsatte en tolerabel ugentlig indtagelse for aluminium fra alle kilder, herunder farvestoffet E173.",https://www.efsa.europa.eu/en/efsajournal/pub/754,EFSA (2008-udtalelse)
E174,Sølv,Sølvpulver,Farvestof (metallisk hvid/sølv); kun til overfladedekoration,Meget begrænset anvendelse (kun overfladedekoration); ingen dokumenteret EU-specifik advarsel ud over den generelle anvendelsesbegrænsning.,EFSA's genvurdering af sølv som farvestof pågik i flere år pga. manglende data; anvendelsen er holdt stærkt begrænset som forsigtighedsforanstaltning.,https://www.efsa.europa.eu/en/topics/topic/food-colours,EFSA / EU-forordning 1333/2008
E175,Guld,Guldpulver,Farvestof (metallisk gylden); kun til overfladedekoration,Meget begrænset anvendelse (kun overfladedekoration); ingen dokumenteret EU-specifik advarsel.,EFSA's genvurdering fandt ingen sikkerhedsproblemer af betydning ved den stærkt begrænsede anvendelse.,https://www.efsa.europa.eu/en/topics/topic/food-colours,EFSA / EU-forordning 1333/2008
E180,Litholrubin BK,"Rubinpigment BK, Lithol Rubine BK","Farvestof (rød, syntetisk); kun til ostens overfladeskorpe",Anvendelsen er begrænset til den ikke-spiselige overfladeskorpe på hårde oste; ingen dokumenteret EU-specifik advarsel ved denne begrænsede brug.,"EFSA's genvurdering bekræftede fortsat godkendelse til den snævre, godkendte anvendelse uden nye sikkerhedsbekymringer.",https://www.efsa.europa.eu/en/efsajournal/pub/2818,EFSA (2013-udtalelse)
E200,Sorbic acid,Sorbinsyre,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (0-25 mg/kg kropsvægt/dag).,EFSA genvurderede sorbinsyre og sorbater i 2015 og bekræftede den eksisterende gruppe-ADI som tilstrækkelig beskyttende.,https://www.efsa.europa.eu/en/efsajournal/pub/4144,EFSA 2015
E201,Sodium sorbate,Natriumsorbat,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat gruppe-ADI sammen med E200/E202/E203.,Del af EFSA's 2015 samlede genvurdering af sorbinsyre og sorbater (E200-E203).,https://www.efsa.europa.eu/en/efsajournal/pub/4144,EFSA 2015
E202,Potassium sorbate,Kaliumsorbat,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat gruppe-ADI. Kan i sjældne tilfælde give hudirritation ved direkte kontakt.,EFSA's 2015 genvurdering fandt ingen anledning til at sænke den eksisterende ADI for gruppen E200-E203.,https://www.efsa.europa.eu/en/efsajournal/pub/4144,EFSA 2015
E203,Calcium sorbate,Calciumsorbat,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat gruppe-ADI.,Del af EFSA's 2015 samlede genvurdering af sorbinsyre og sorbater (E200-E203).,https://www.efsa.europa.eu/en/efsajournal/pub/4144,EFSA 2015
E210,Benzoic acid,Benzoesyre,Konserveringsmiddel,"Kan i kombination med C-vitamin (ascorbinsyre, E300) danne spormængder af det kræftfremkaldende stof benzen, særligt i læskedrikke udsat for varme og lys. Kan hos følsomme personer bidrage til pseudoallergiske reaktioner (fx nældefeber).","EFSA genvurderede benzoesyre/benzoater i 2016 og fastholdt gruppe-ADI på 5 mg/kg kropsvægt/dag. Benzen-dannelse ved reaktion med ascorbinsyre er en kendt, dokumenteret problemstilling som EU-industrien har arbejdet på at minimere via reformulering.",https://www.efsa.europa.eu/en/efsajournal/pub/4433,EFSA 2016
E211,Sodium benzoate,Natriumbenzoat,Konserveringsmiddel,"Samme benzen-dannelsesrisiko sammen med ascorbinsyre (E300) som benzoesyre. Mistænkt for i kombination med visse farvestoffer at kunne påvirke aktivitet/opmærksomhed hos børn (Southampton-undersøgelsen), hvilket ligger til grund for advarselsmærkning af de pågældende farvestoffer, ikke af E211 selv.",EFSA's 2016 genvurdering af benzoater (E210-E213) fastholdt gruppe-ADI på 5 mg/kg kropsvægt/dag.,https://www.efsa.europa.eu/en/efsajournal/pub/4433,EFSA 2016
E212,Potassium benzoate,Kaliumbenzoat,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel ud over den generelle benzen-risiko for benzoatgruppen sammen med ascorbinsyre.,Del af EFSA's 2016 samlede genvurdering af benzoesyre og benzoater (E210-E213).,https://www.efsa.europa.eu/en/efsajournal/pub/4433,EFSA 2016
E213,Calcium benzoate,Calciumbenzoat,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel ud over den generelle benzen-risiko for benzoatgruppen sammen med ascorbinsyre.,Del af EFSA's 2016 samlede genvurdering af benzoesyre og benzoater (E210-E213).,https://www.efsa.europa.eu/en/efsajournal/pub/4433,EFSA 2016
E214,Ethyl p-hydroxybenzoate,"Ethylparaben, ethyl-4-hydroxybenzoat",Konserveringsmiddel,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI for parabener (0-10 mg/kg kropsvægt/dag). Propylparaben (E216) er tidligere forbudt i EU pga. utilstrækkelig sikkerhedsdokumentation, hvilket har skabt generel skepsis over for parabengruppen.","EFSA/SCF har vurderet parabengruppen (E214, E215, E218, E219) samlet under en gruppe-ADI.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E215,Sodium ethyl p-hydroxybenzoate,Natriumethylparaben,Konserveringsmiddel,"Ingen dokumenteret EU-specifik advarsel; indgår i parabenernes gruppe-ADI. Der har historisk været usikkerhed om godkendelsesstatus for enkelte paraben-salte i EU, hvor ikke alle er tilbage på markedet.","Vurderet sammen med de øvrige godkendte parabener (E214, E218, E219) under fælles gruppe-ADI.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E218,Methyl p-hydroxybenzoate,"Methylparaben, methyl-4-hydroxybenzoat",Konserveringsmiddel,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI for parabener. Ikke at forveksle med parabener i kosmetik, som har været genstand for separat, mere restriktiv EU-regulering.",EFSA/SCF har vurderet parabengruppen samlet; methylparaben anses for den bedst dokumenterede og mindst problematiske af gruppen.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E219,Sodium methyl p-hydroxybenzoate,Natriummethylparaben,Konserveringsmiddel,Ingen dokumenteret EU-specifik advarsel; indgår i parabenernes gruppe-ADI.,Vurderet sammen med de øvrige godkendte parabener under fælles gruppe-ADI.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
E220,Sulphur dioxide,Svovldioxid,Konserveringsmiddel; antioxidant,"Reel og dokumenteret risiko for astma- og allergireaktioner hos følsomme personer. Skal obligatorisk mærkes med 'sulfitter' eller 'svovldioxid', hvis indholdet overstiger 10 mg/kg eller 10 mg/l i det færdige produkt, da sulfitter er blandt EU's 14 officielle allergener.",EFSA genvurderede svovldioxid/sulfitter (E220-E228) i 2016 og sænkede gruppe-ADI pga. dokumenteret sammenhæng med astmaanfald hos sulfit-følsomme personer selv ved lave doser.,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E221,Sodium sulphite,Natriumsulfit,Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E222,Sodium hydrogen sulphite,"Natriumbisulfit, natriumhydrogensulfit",Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E223,Sodium metabisulphite,Natriummetabisulfit,Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l. Bruges bl.a. i vin og tørret frugt.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E224,Potassium metabisulphite,Kaliummetabisulfit,Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E225,Potassium sulphite,Kaliumsulfit,Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E226,Calcium sulphite,Calciumsulfit,Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E227,Calcium hydrogen sulphite,"Calciumbisulfit, calciumhydrogensulfit",Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E228,Potassium hydrogen sulphite,"Kaliumbisulfit, kaliumhydrogensulfit",Konserveringsmiddel; antioxidant,Samme dokumenterede astma-/allergirisiko som svovldioxid. Obligatorisk sulfit-mærkning over 10 mg/kg eller 10 mg/l.,Del af EFSA's 2016 samlede genvurdering af svovldioxid og sulfitter (E220-E228).,https://www.efsa.europa.eu/en/efsajournal/pub/4438,EFSA 2016
E231,Orthophenyl phenol,"Ortho-phenylphenol, o-fenylfenol",Konserveringsmiddel (overfladebehandling af citrusfrugt),"Ingen dokumenteret akut EU-forbrugerrisiko ved den godkendte brug, men stoffet er kun tilladt til overfladebehandling af citrusskal, ikke som generelt fødevaretilsætningsstof, og skallen bør ikke spises eller anvendes til madlavning uden vask.","Anvendelsen er reguleret snævert i EU, og der har været regulatorisk diskussion om hvorvidt stoffet fortsat bør høre under fødevaretilsætnings- eller plantebeskyttelsesreglerne.",https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,EU Food Additives Database
